Avg. goals conceded p/m,Avg. goals scored p/m,Avg. time 1st goal conced.,Avg. time 1st goal scored,Biggest defeat,Biggest victory,Clean sheets,Draws,Equipo,Failed to score,Goals against,Goals for,Losses,Matches played,Points,Torneo,Wins
0,0,-,-,-,-,0,0,Bélgica,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,4,-,13m,-,4 - 0,1,0,Bélgica,0,0,4,0,1,3,Friendlies - 2018,1
1,1.8,31m,38m,0 - 2,4 - 0,3,0,Bélgica,1,5,9,2,5,9,European Championship - 2016 France,3
0.5,2.4,41m,38m,-,6 - 0,5,2,Bélgica,2,5,24,1,10,23,EC Qualification - 2016 France,7
0.6,4.3,44m,27m,-,9 - 0,6,1,Bélgica,0,6,43,0,10,28,WC Qualification Europe - 2018 Russia,9
0,0,-,-,-,-,0,0,Bélgica,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Inglaterra,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.5,1,87m,42m,-,1 - 0,1,1,Inglaterra,0,1,2,0,2,4,Friendlies - 2018,1
1,1,46m,44m,-,2 - 1,1,2,Inglaterra,1,4,4,1,4,5,European Championship - 2016 France,1
0.3,3.1,37m,43m,-,6 - 0,8,0,Inglaterra,0,3,31,0,10,30,EC Qualification - 2016 France,10
0.3,1.8,45m,48m,-,4 - 0,8,2,Inglaterra,1,3,18,0,10,26,WC Qualification Europe - 2018 Russia,8
0,0,-,-,-,-,0,0,Inglaterra,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
